Meeting Title,URL,Congress,Chamber,Meeting Date,Committee
"Strengthening Social Security’s Customer Service",https://www.congress.gov/event/117th-congress/house-event/114808,117th,"House of Representatives",2022-05-17T18:00:00Z,"House Ways and Means"
"Proposed Fiscal Year 2023 Budget with Health & Human Services Secretary Becerra",https://www.congress.gov/event/117th-congress/house-event/114692,117th,"House of Representatives",2022-04-28T14:30:00Z,"House Ways and Means"
"Views and Estimates Letter to the Committee on the Budget",https://www.congress.gov/event/117th-congress/house-event/114691,117th,"House of Representatives",2022-04-28T14:15:00Z,"House Ways and Means"
"Overcoming Racism to Advance Economic Opportunity",https://www.congress.gov/event/117th-congress/house-event/114600,117th,"House of Representatives",2022-04-06T14:00:00Z,"House Ways and Means"
"Proposed Fiscal Year 2023 Budget with Health & Human Services Secretary Becerra",https://www.congress.gov/event/117th-congress/house-event/114598,117th,"House of Representatives",2022-04-05T18:00:00Z,"House Ways and Means"
"Biden Administration’s 2022 Trade Policy Agenda",https://www.congress.gov/event/117th-congress/house-event/114596,117th,"House of Representatives",2022-03-30T14:00:00Z,"House Ways and Means"
"Hearing with the IRS Commissioner on the 2022 Filing Season",https://www.congress.gov/event/117th-congress/house-event/114742,117th,"House of Representatives",2022-03-17T14:00:00Z,"House Ways and Means"
"Improving Family Outcomes through Home Visiting",https://www.congress.gov/event/117th-congress/house-event/114493,117th,"House of Representatives",2022-03-16T14:00:00Z,"House Ways and Means"
"Substance Use, Suicide Risk, and the American Health System",https://www.congress.gov/event/117th-congress/house-event/114447,117th,"House of Representatives",2022-03-02T15:00:00Z,"House Ways and Means"
"Examining the Economic Impact of Federal Infrastructure Investment",https://www.congress.gov/event/117th-congress/house-event/114409,117th,"House of Representatives",2022-02-15T19:00:00Z,"House Ways and Means"
"Bridging Health Equity Gaps for People with Disabilities and Chronic Conditions",https://www.congress.gov/event/117th-congress/house-event/114388,117th,"House of Representatives",2022-02-03T19:00:00Z,"House Ways and Means"
"America’s Mental Health Crisis",https://www.congress.gov/event/117th-congress/house-event/114396,117th,"House of Representatives",2022-02-02T15:00:00Z,"House Ways and Means"
"The Pandora Papers and Hidden Wealth",https://www.congress.gov/event/117th-congress/house-event/114306,117th,"House of Representatives",2021-12-08T15:00:00Z,"House Ways and Means"
"The Fierce Urgency Of Now – Social Security 2100: A Sacred Trust",https://www.congress.gov/event/117th-congress/house-event/114304,117th,"House of Representatives",2021-12-07T18:00:00Z,"House Ways and Means"
"Supporting U.S. Workers, Businesses, and the Environment in the Face of Unfair Chinese Trade Practices",https://www.congress.gov/event/117th-congress/house-event/114274,117th,"House of Representatives",2021-12-02T15:00:00Z,"House Ways and Means"
"Strengthening the U.S.-Africa Trade and Investment Relationship",https://www.congress.gov/event/117th-congress/house-event/114242,117th,"House of Representatives",2021-11-17T16:00:00Z,"House Ways and Means"
"The Opportunity Zone Program and Who It Left Behind",https://www.congress.gov/event/117th-congress/house-event/114244,117th,"House of Representatives",2021-11-16T19:00:00Z,"House Ways and Means"
"Legislative proposals to comply with the reconciliation directive included in section 2002 of the Concurrent Resolution on the Budget for Fiscal Year 2022, S. Con. Res. 14.
•	Committee Print Consisting of Subtitles F, G, H, and J: Budget Reconciliation Legislative Recommendations Relating to Infrastructure Financing, Green Energy, Social Safety Net, and Prescription Drug Pricing

1.	Revised notice of markup: 9/13/2021
 
a.	Addition of Wednesday, September 15th to scheduled day of markup and;
 
b.	Addition of motion to transmit recommendations to the Committee on the Budget. 
2.	Amendment in the nature of a substitute to add Subtitle I, Legislative Recommendations Relating to Funding Our Priorities",https://www.congress.gov/event/117th-congress/house-event/114042,117th,"House of Representatives",2021-09-14T13:00:00Z,"House Ways and Means"
"Markup of:
Legislative proposals to comply with the reconciliation directive included in section 2002 of the Concurrent Resolution on the Budget for Fiscal Year 2022, S. Con. Res. 14.
•	Subtitle A. Budget Reconciliation Legislative Recommendations Relating to Universal Paid Family and Medical Leave

•	Subtitle B. Budget Reconciliation Legislative Recommendations Relating to Retirement

•	Subtitle C. Budget Reconciliation Legislative Recommendations Relating to Childcare Access and Equity

•	Subtitle D. Budget Reconciliation Legislative Recommendations Relating to Trade Adjustment Assistance

•	Part 1 of Subtitle E: Budget Reconciliation Legislative Recommendations Relating to Health Profession Opportunity Grants

•	Part 2 of Subtitle E: Budget Reconciliation Legislative Recommendations Relating to Elder Justice

•	Part 3 of Subtitle E: Budget Reconciliation Legislative Recommendations Relating to Skilled Nursing Facilities

•	Part 4 of Subtitle E: Budget Reconciliation Legislative Recommendations Relating to Medicare Dental, Hearing, and Vision Coverage",https://www.congress.gov/event/117th-congress/house-event/114030,117th,"House of Representatives",2021-09-09T14:00:00Z,"House Ways and Means"
"The Global Challenge of Forced Labor in Supply Chains: Strengthening Enforcement and Protecting Workers",https://www.congress.gov/event/117th-congress/house-event/113930,117th,"House of Representatives",2021-07-21T14:00:00Z,"House Ways and Means"
"Expanding Housing Access to All Americans",https://www.congress.gov/event/117th-congress/house-event/113910,117th,"House of Representatives",2021-07-14T18:00:00Z,"House Ways and Means"
"Expanding Access to Higher Education and the Promise it Holds",https://www.congress.gov/event/117th-congress/house-event/112841,117th,"House of Representatives",2021-06-29T18:00:00Z,"House Ways and Means"
"President's Proposed Fiscal Year 2022 Budget with Treasury Secretary Janet Yellen",https://www.congress.gov/event/117th-congress/house-event/112784,117th,"House of Representatives",2021-06-17T14:00:00Z,"House Ways and Means"
"Equity in Social Security: In Their Own Words",https://www.congress.gov/event/117th-congress/house-event/112769,117th,"House of Representatives",2021-06-15T18:00:00Z,"House Ways and Means"
"Joint Hearing on Minding the Tax Gap: 
Improving Tax Administration for the 21st Century",https://www.congress.gov/event/117th-congress/house-event/112792,117th,"House of Representatives",2021-06-10T16:00:00Z,"House Ways and Means"
"The President's Proposed Fiscal Year 2022 Budget with the Department of Health and Human Services Secretary Becerra",https://www.congress.gov/event/117th-congress/house-event/112756,117th,"House of Representatives",2021-06-08T14:00:00Z,"House Ways and Means"
"Legislative Hearing on Universal Paid Leave and Guaranteed Access to Child Care",https://www.congress.gov/event/117th-congress/house-event/112719,117th,"House of Representatives",2021-05-27T14:00:00Z,"House Ways and Means"
"Leveraging the Tax Code for Infrastructure Investment",https://www.congress.gov/event/117th-congress/house-event/112671,117th,"House of Representatives",2021-05-19T14:00:00Z,"House Ways and Means"
"The Biden Administration’s 2021 Trade Policy Agenda",https://www.congress.gov/event/117th-congress/house-event/112620,117th,"House of Representatives",2021-05-13T14:00:00Z,"House Ways and Means"
"Funding Our Nation's Priorities: Reforming the Tax Code's Advantageous Treatment of the Wealthy",https://www.congress.gov/event/117th-congress/house-event/112604,117th,"House of Representatives",2021-05-12T18:00:00Z,"House Ways and Means"
"Making a Difference for Families and Foster Youth",https://www.congress.gov/event/117th-congress/house-event/112622,117th,"House of Representatives",2021-05-12T14:00:00Z,"House Ways and Means"
"• Views and Estimates Letter to the Committee on the Budget
• H.R.___, the “Securing a Strong Retirement Act of 2021”",https://www.congress.gov/event/117th-congress/house-event/112585,117th,"House of Representatives",2021-05-05T15:00:00Z,"House Ways and Means"
"Advancing U.S. Economic Competitiveness, Equity, and Sustainability Through Infrastructure Investments",https://www.congress.gov/event/117th-congress/house-event/112521,117th,"House of Representatives",2021-04-29T17:30:00Z,"House Ways and Means"
"Charting the Path Forward for Telehealth",https://www.congress.gov/event/117th-congress/house-event/112586,117th,"House of Representatives",2021-04-28T18:00:00Z,"House Ways and Means"
"In Their Own Words: Paid Leave, Child Care, and an Economy that Failed Women",https://www.congress.gov/event/117th-congress/house-event/112513,117th,"House of Representatives",2021-04-21T16:00:00Z,"House Ways and Means"
"Examining Private Equity’s Expanded Role in the U.S. Health Care System",https://www.congress.gov/event/117th-congress/house-event/111415,117th,"House of Representatives",2021-03-25T17:00:00Z,"House Ways and Means"
"Member's Day Hearing",https://www.congress.gov/event/117th-congress/house-event/112861,117th,"House of Representatives",2021-03-23T14:00:00Z,"House Ways and Means"
"Hearing with the IRS Commissioner on the 2021 Filing Season",https://www.congress.gov/event/117th-congress/house-event/111359,117th,"House of Representatives",2021-03-18T18:00:00Z,"House Ways and Means"
"Tax Tools to Help Local Governments",https://www.congress.gov/event/117th-congress/house-event/111299,117th,"House of Representatives",2021-03-11T19:00:00Z,"House Ways and Means"
"Health Profession Opportunity Grants: Past Successes and Future Uses",https://www.congress.gov/event/117th-congress/house-event/111296,117th,"House of Representatives",2021-03-10T19:00:00Z,"House Ways and Means"
"Reauthorizing Trade Adjustment Assistance: Opportunities for Equitable Access and Modernization",https://www.congress.gov/event/117th-congress/house-event/111269,117th,"House of Representatives",2021-03-04T15:00:00Z,"House Ways and Means"
"The Path Forward on COVID-19 Immunizations",https://www.congress.gov/event/117th-congress/house-event/111317,117th,"House of Representatives",2021-02-26T19:00:00Z,"House Ways and Means"
"Hearing on Free Tax Preparation Services During the Pandemic",https://www.congress.gov/event/117th-congress/house-event/111217,117th,"House of Representatives",2021-02-18T19:00:00Z,"House Ways and Means"
"Legislative proposals to comply with the reconciliation directive included in Section 2001 of the Concurrent Resolution on the Budget for Fiscal Year 2021, S. Con. Res. 5.",https://www.congress.gov/event/117th-congress/house-event/111185,117th,"House of Representatives",2021-02-10T15:00:00Z,"House Ways and Means"
"Organizational Meeting",https://www.congress.gov/event/117th-congress/house-event/111180,117th,"House of Representatives",2021-02-04T15:00:00Z,"House Ways and Means"
"Restaurants in America During the COVID-19 Pandemic",https://www.congress.gov/event/116th-congress/house-event/111044,116th,"House of Representatives",2020-09-25T13:00:00Z,"House Ways and Means"
"Save Our Social Security Now",https://www.congress.gov/event/116th-congress/house-event/111046,116th,"House of Representatives",2020-09-24T17:00:00Z,"House Ways and Means"
"Enforcing the Ban on Imports Produced by Forced Labor in Xinjiang",https://www.congress.gov/event/116th-congress/house-event/111010,116th,"House of Representatives",2020-09-17T16:00:00Z,"House Ways and Means"
"Consequences of Inaction on COVID Tax Legislation",https://www.congress.gov/event/116th-congress/house-event/110995,116th,"House of Representatives",2020-09-11T16:00:00Z,"House Ways and Means"
"The Caribbean Basin Trade Partnership Act: Considerations for Renewal",https://www.congress.gov/event/116th-congress/house-event/111000,116th,"House of Representatives",2020-09-10T18:00:00Z,"House Ways and Means"
"Trade, Manufacturing, and Critical Supply Chains: Lessons from COVID-19",https://www.congress.gov/event/116th-congress/house-event/110939,116th,"House of Representatives",2020-07-23T18:00:00Z,"House Ways and Means"
"The Impact of COVID-19 on Social Security and its Beneficiaries",https://www.congress.gov/event/116th-congress/house-event/110904,116th,"House of Representatives",2020-07-17T16:00:00Z,"House Ways and Means"
"Hearing on Examining the COVID-19 Nursing Home Crisis",https://www.congress.gov/event/116th-congress/house-event/110828,116th,"House of Representatives",2020-06-25T18:00:00Z,"House Ways and Means"
"The Child Care Crisis and the Coronavirus Pandemic",https://www.congress.gov/event/116th-congress/house-event/110819,116th,"House of Representatives",2020-06-23T18:00:00Z,"House Ways and Means"
"Tax Relief to Support Workers and Families during the COVID-19 Recession",https://www.congress.gov/event/116th-congress/house-event/110803,116th,"House of Representatives",2020-06-18T16:00:00Z,"House Ways and Means"
"The 2020 Trade Policy Agenda",https://www.congress.gov/event/116th-congress/house-event/110798,116th,"House of Representatives",2020-06-17T14:00:00Z,"House Ways and Means"
"The Disproportionate Impact of COVID-19 on Communities of Color",https://www.congress.gov/event/116th-congress/house-event/110758,116th,"House of Representatives",2020-05-27T16:00:00Z,"House Ways and Means"
"Combatting Child Poverty in America",https://www.congress.gov/event/116th-congress/house-event/110693,116th,"House of Representatives",2020-03-11T18:00:00Z,"House Ways and Means"
"Examining the Impact of the Tax Code on Native American Tribes",https://www.congress.gov/event/116th-congress/house-event/110643,116th,"House of Representatives",2020-03-04T15:00:00Z,"House Ways and Means"
"The Proposed Fiscal Year 2021 Budget with Treasury Secretary Steven Mnuchin",https://www.congress.gov/event/116th-congress/house-event/110602,116th,"House of Representatives",2020-03-03T15:00:00Z,"House Ways and Means"
"The Views and Estimates Letter to the House Budget Committee",https://www.congress.gov/event/116th-congress/house-event/110685,116th,"House of Representatives",2020-03-03T14:00:00Z,"House Ways and Means"
"Proposed Fiscal Year 2021 Budget with Health and Human Services Secretary Azar",https://www.congress.gov/event/116th-congress/house-event/110574,116th,"House of Representatives",2020-02-27T15:00:00Z,"House Ways and Means"
"U.S.-China Trade and Competition",https://www.congress.gov/event/116th-congress/house-event/110565,116th,"House of Representatives",2020-02-26T15:30:00Z,"House Ways and Means"
"• H.R. 5821, the “HOSPICE” Act

• H.R.5825, “To amend the Internal Revenue Code of 1986 to provide for reporting by
certain investors with respect to certain specified medical care providers”

• H.R. 5826, the “Consumer Protections Against Surprise Medical Bills Act”",https://www.congress.gov/event/116th-congress/house-event/110520,116th,"House of Representatives",2020-02-12T15:00:00Z,"House Ways and Means"
"The Disappearing Corporate Income Tax",https://www.congress.gov/event/116th-congress/house-event/110494,116th,"House of Representatives",2020-02-11T15:00:00Z,"House Ways and Means"
"Trade Infrastructure for Global Competitiveness",https://www.congress.gov/event/116th-congress/house-event/110459,116th,"House of Representatives",2020-02-06T15:00:00Z,"House Ways and Means"
"Hearing on More Cures for More Patients: Overcoming Pharmaceutical Barriers",https://www.congress.gov/event/116th-congress/house-event/110445,116th,"House of Representatives",2020-02-05T19:00:00Z,"House Ways and Means"
"Paving the Way for Funding and Financing Infrastructure Investments",https://www.congress.gov/event/116th-congress/house-event/110410,116th,"House of Representatives",2020-01-29T18:30:00Z,"House Ways and Means"
"Legislative Proposals for Paid Family and Medical Leave",https://www.congress.gov/event/116th-congress/house-event/110409,116th,"House of Representatives",2020-01-28T15:00:00Z,"House Ways and Means"
"Legislative Proposals for Paid Family and Medical Leave",https://www.congress.gov/event/116th-congress/house-event/110412,116th,"House of Representatives",2020-01-28T15:00:00Z,"House Ways and Means"
"- H. Res. 746, a Resolution to Support and Reform the World Trade Organization (WTO)
- H.R. 5430, To implement the Agreement between the United States of America, the United Mexican States, and Canada attached as an Annex to the Protocol Replacing the North American Free Trade Agreement",https://www.congress.gov/event/116th-congress/house-event/110341,116th,"House of Representatives",2019-12-17T15:00:00Z,"House Ways and Means"
"Markup of:
•  H.R. 5306, the “Know Your Social Security Act”
•  H.R.____, “Restoring Tax Fairness for States and Localities Act’’",https://www.congress.gov/event/116th-congress/house-event/110328,116th,"House of Representatives",2019-12-11T15:00:00Z,"House Ways and Means"
"U.S.-Japan Trade Agreements",https://www.congress.gov/event/116th-congress/house-event/110237,116th,"House of Representatives",2019-11-20T15:00:00Z,"House Ways and Means"
"Caring for Aging Americans",https://www.congress.gov/event/116th-congress/house-event/110199,116th,"House of Representatives",2019-11-14T15:00:00Z,"House Ways and Means"
"Markup of:

•H.R. 4742, “To amend the Internal Revenue Code of 1986 to impose a tax on nicotine used in vaping, etc.”

•H.R. 4716, “Inhaler Coverage and Access Now Act’’

•H.R. 1922, the “Restoring Access to Medication Act of 2019”

•H.R. 3708, the “Primary Care Enhancement Act of 2019”",https://www.congress.gov/event/116th-congress/house-event/110145,116th,"House of Representatives",2019-10-23T17:00:00Z,"House Ways and Means"
"Markup of:

H.R. 3398, the “Pathways to Health Careers Act of 2019”

H.R. 3, the “Lower Drug Costs Act Now Act of 2019”

H.R. 4650, the “Medicare Dental Act of 2019”

H.R. 4665, the “Medicare Vision Act of 2019”

H.R. 4618, the “Medicare Hearing Act of 2019”",https://www.congress.gov/event/116th-congress/house-event/110137,116th,"House of Representatives",2019-10-22T13:30:00Z,"House Ways and Means"
"Investing in the U.S. Health System by Lowering Drug Prices, Reducing Out-of-Pocket Costs, and Improving Medicare Benefits",https://www.congress.gov/event/116th-congress/house-event/110105,116th,"House of Representatives",2019-10-17T14:00:00Z,"House Ways and Means"
"The Public Health Consequences & Costs of Gun Violence",https://www.congress.gov/event/116th-congress/house-event/110044,116th,"House of Representatives",2019-09-26T14:00:00Z,"House Ways and Means"
"Hearing on How the Tax Code Subsidizes Hate",https://www.congress.gov/event/116th-congress/house-event/109958,116th,"House of Representatives",2019-09-19T14:00:00Z,"House Ways and Means"
"Consideration of:
Historical documents protected under Internal Revenue Code section 6103.",https://www.congress.gov/event/116th-congress/house-event/109872,116th,"House of Representatives",2019-07-25T18:00:00Z,"House Ways and Means"
"Legislative Hearing on the Social Security 2100 Act",https://www.congress.gov/event/116th-congress/house-event/109882,116th,"House of Representatives",2019-07-25T14:00:00Z,"House Ways and Means"
"Markup of:
H.R. 397, “The Rehabilitation for Multiemployer Pensions Act of 2019”",https://www.congress.gov/event/116th-congress/house-event/109774,116th,"House of Representatives",2019-07-10T14:00:00Z,"House Ways and Means"
"•	H.R. 3417, “The Beneficiary Education Tools, Telehealth, and Extenders Reauthorization Act of 2019”

•	H.R. 3429, “HEARTS and Rural Relief Act’’

•	H.R. 3436, “The Improving Chronic Care Management Act”

•	H.R. 3414, “The Opioid Workforce Act of 2019”

•	H.R. 3439, “The Protecting Access to Information for Effective and Necessary Treatment (PATIENT) Act of 2019”",https://www.congress.gov/event/116th-congress/house-event/109736,116th,"House of Representatives",2019-06-26T14:00:00Z,"House Ways and Means"
"Members’ Day Hearing Focused on the Recent Changes Made to the Federal Tax Treatment of State and Local Taxes",https://www.congress.gov/event/116th-congress/house-event/109732,116th,"House of Representatives",2019-06-25T18:00:00Z,"House Ways and Means"
"Mexico’s Labor Reform: Opportunities and Challenges for an Improved NAFTA",https://www.congress.gov/event/116th-congress/house-event/109703,116th,"House of Representatives",2019-06-25T13:30:00Z,"House Ways and Means"
"Select Revenue Measures Subcommittee Hearing on How Recent Limitations to the SALT Deduction Harm Communities, Schools, First Responders, and Housing Values",https://www.congress.gov/event/116th-congress/house-event/109731,116th,"House of Representatives",2019-06-25T13:30:00Z,"House Ways and Means"
"Markup of:

• H.R. 3298, “The Child Care Quality and Access Act of 2019”

• H.R. 3299, “The Promoting Respect for Individuals’ Dignity and Equality (PRIDE) Act of 2019”

• H.R. 3300, “The Economic Mobility Act of 2019”  

• H.R. 3301, “The Taxpayer Certainty and Disaster Tax Relief Act of 2019”",https://www.congress.gov/event/116th-congress/house-event/109702,116th,"House of Representatives",2019-06-20T13:30:00Z,"House Ways and Means"
"Hearing on Ending the TCJA Tax on Houses of Worship, Charities, and Nonprofits",https://www.congress.gov/event/116th-congress/house-event/109666,116th,"House of Representatives",2019-06-19T18:30:00Z,"House Ways and Means"
"The 2019 Trade Policy Agenda: Negotiations with China, Japan, the EU, and UK; new NAFTA/USMCA; U.S. Participation in the WTO; and other matters",https://www.congress.gov/event/116th-congress/house-event/109653,116th,"House of Representatives",2019-06-19T13:30:00Z,"House Ways and Means"
"Pathways to Universal Health Coverage",https://www.congress.gov/event/116th-congress/house-event/109618,116th,"House of Representatives",2019-06-12T14:00:00Z,"House Ways and Means"
"Celebrating Fathers and Families: Federal Support for Responsible Fatherhood",https://www.congress.gov/event/116th-congress/house-event/109611,116th,"House of Representatives",2019-06-11T18:00:00Z,"House Ways and Means"
"Members’ Day Hearing",https://www.congress.gov/event/116th-congress/house-event/109585,116th,"House of Representatives",2019-06-04T14:00:00Z,"House Ways and Means"
"Enforcement in the New NAFTA",https://www.congress.gov/event/116th-congress/house-event/109520,116th,"House of Representatives",2019-05-22T14:00:00Z,"House Ways and Means"
"Hearing on Protecting Patients from Surprise Medical Bills",https://www.congress.gov/event/116th-congress/house-event/109508,116th,"House of Representatives",2019-05-21T19:00:00Z,"House Ways and Means"
"Overcoming Racial Disparities and Social Determinants in the Maternal Mortality Crisis",https://www.congress.gov/event/116th-congress/house-event/109496,116th,"House of Representatives",2019-05-16T14:00:00Z,"House Ways and Means"
"The Economic and Health Consequences of Climate Change",https://www.congress.gov/event/116th-congress/house-event/109473,116th,"House of Representatives",2019-05-15T14:00:00Z,"House Ways and Means"
"Understanding the Tax Gap and Taxpayer Noncompliance",https://www.congress.gov/event/116th-congress/house-event/109427,116th,"House of Representatives",2019-05-09T14:00:00Z,"House Ways and Means"
"Paid Family and Medical Leave: Helping Workers and Employers Succeed",https://www.congress.gov/event/116th-congress/house-event/109407,116th,"House of Representatives",2019-05-08T14:00:00Z,"House Ways and Means"
"Protecting and Improving Social Security: Comprehensive Legislative Proposals to Enhance Social Security",https://www.congress.gov/event/116th-congress/house-event/109298,116th,"House of Representatives",2019-04-10T13:00:00Z,"House Ways and Means"
"H.R.___, “Prescription Drug Sunshine, Transparency, Accountability and Reporting Act” (STAR Act)",https://www.congress.gov/event/116th-congress/house-event/109309,116th,"House of Representatives",2019-04-09T14:30:00Z,"House Ways and Means"
"• H.R. 1759, “Building on Reemployment Improvements to Deliver Good Employment for Workers (BRIDGE for Workers) Act”

• H.R. __, “Setting Every Community Up for Retirement Enhancement Act of 2019”

• H.R. 1957, “Taxpayer First Act of 2019”",https://www.congress.gov/event/116th-congress/house-event/109255,116th,"House of Representatives",2019-04-02T14:00:00Z,"House Ways and Means"
"The 2017 Tax Law and Who It Left Behind",https://www.congress.gov/event/116th-congress/house-event/109167,116th,"House of Representatives",2019-03-27T14:00:00Z,"House Ways and Means"
"THE 2017 TAX LAW AND WHO IT LEFT BEHIND",https://www.congress.gov/event/116th-congress/house-event/LC64682/text,116th,"House of Representatives",2019-03-27T04:00:00Z,"House Ways and Means"
"Trade and Labor: Creating and Enforcing Rules to Benefit American Workers",https://www.congress.gov/event/116th-congress/house-event/109127,116th,"House of Representatives",2019-03-26T14:00:00Z,"House Ways and Means"
"The President's Fiscal Year 2020 Budget Proposal with U.S. Secretary of the Treasury Steven Mnuchin",https://www.congress.gov/event/116th-congress/house-event/109095,116th,"House of Representatives",2019-03-14T13:00:00Z,"House Ways and Means"
"Protecting and Improving Social Security: Benefit Enhancements",https://www.congress.gov/event/116th-congress/house-event/109085,116th,"House of Representatives",2019-03-13T18:00:00Z,"House Ways and Means"
"PROTECTING AND IMPROVING SOCIAL SECURITY: BENEFIT ENHANCEMENTS",https://www.congress.gov/event/116th-congress/house-event/LC64683/text,116th,"House of Representatives",2019-03-13T04:00:00Z,"House Ways and Means"
"Temporary Policy in the Internal Revenue Code",https://www.congress.gov/event/116th-congress/house-event/109118,116th,"House of Representatives",2019-03-12T18:00:00Z,"House Ways and Means"
"Protecting and Improving Social Security: Enhancing Social Security to Strengthen the Middle Class",https://www.congress.gov/event/116th-congress/house-event/109058,116th,"House of Representatives",2019-03-12T14:00:00Z,"House Ways and Means"
"PROTECTING AND IMPROVING SOCIAL SECURITY: ENHANCING SOCIAL SECURITY TO STRENGTHEN THE MIDDLE CLASS",https://www.congress.gov/event/116th-congress/house-event/LC64691/text,116th,"House of Representatives",2019-03-12T04:00:00Z,"House Ways and Means"
"Leveling the Playing Field for Working Families: Challenges and Opportunities",https://www.congress.gov/event/116th-congress/house-event/109028,116th,"House of Representatives",2019-03-07T19:00:00Z,"House Ways and Means"
"Hearing with the National Taxpayer Advocate on the IRS Filing Season",https://www.congress.gov/event/116th-congress/house-event/109041,116th,"House of Representatives",2019-03-07T15:00:00Z,"House Ways and Means"
"Promoting Competition to Lower Medicare Drug Prices",https://www.congress.gov/event/116th-congress/house-event/109040,116th,"House of Representatives",2019-03-07T15:00:00Z,"House Ways and Means"
"LEVELING THE PLAYING FIELD FOR WORKING FAMILIES: CHALLENGES AND OPPORTUNITIES",https://www.congress.gov/event/116th-congress/house-event/LC64693/text,116th,"House of Representatives",2019-03-07T05:00:00Z,"House Ways and Means"
"NATIONAL TAXPAYER ADVOCATE ON THE IRS FILING SEASON",https://www.congress.gov/event/116th-congress/house-event/LC64694/text,116th,"House of Representatives",2019-03-07T05:00:00Z,"House Ways and Means"
"Our Nation’s Crumbling Infrastructure And The Need For Immediate Action",https://www.congress.gov/event/116th-congress/house-event/109003,116th,"House of Representatives",2019-03-06T15:30:00Z,"House Ways and Means"
"Hearing on U.S.-China Trade",https://www.congress.gov/event/116th-congress/house-event/108949,116th,"House of Representatives",2019-02-27T15:00:00Z,"House Ways and Means"
"U.S. CHINA TRADE",https://www.congress.gov/event/116th-congress/house-event/LC64695/text,116th,"House of Representatives",2019-02-27T05:00:00Z,"House Ways and Means"
"Hearing on How Middle Class Families are Faring in Today’s Economy",https://www.congress.gov/event/116th-congress/house-event/108920,116th,"House of Representatives",2019-02-13T15:00:00Z,"House Ways and Means"
